,title,year,genre,score,review
0,너의 결혼식,2018,"멜로, 로맨스",8, 관람객 사랑은타이밍이지... 
1,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 8월에 본 영화중 제일 재밌었음 
2,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 보는 내내 니생각이 났다 
3,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 이번첫사랑영화는 남자배우가 국민첫사랑남으로 등극하겠네요! 너무 잘 봤습니다 
4,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 둘다 너무 러블리하고권태기가 온 커플이라면 한번쯤 같이 보면서 생각해보면 좋을 영화 
5,너의 결혼식,2018,"멜로, 로맨스",7, 관람객 재밌게 봤습니다. 박보영은 그 말을 들었을때 얼마나 슬펐을까 ... 하지만 김영광은 또 얼마나 미안했을까 ..ㅠㅠ 보는 내내 마음 아팠습니다ㅠ 
6,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 연애하고싶은 생각이 드는 영화 
7,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 영화를 보면 볼수록 감정이입이 되는 그런 작품!! 
8,너의 결혼식,2018,"멜로, 로맨스",9, 관람객 끝나고 많은 생각이 들게 한 영화. 첫사랑은 나를 가장 아름답게 해준다. 그 끝이 꼭 해피엔딩이 아니더라도 지나고보면 인생에서 가장 아름다웠던 나를 보게 된다. 
9,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 생각보다 잔잔했지만 그래서 여운이 남을거 같은 영화.. 두 주연배우 연기와 케미가 굉장히 좋았는데 하나 아쉬운건 살짝 식상한 설정들이 좀 있는듯 
10,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 정말 현실적인 연애를 반영한거 같아서 재밌었습니다 
11,너의 결혼식,2018,"멜로, 로맨스",1, 관람객 박보영 예쁜거말고는전개 터무니없이빠르고억지감동장면도 너무많고특히 고등학교방송부에서 밴드연주장면 너무 오그라들었음아무리 영화라지만 너무 어이없게 자주만난다상상은 현실이된다 수준 
12,너의 결혼식,2018,"멜로, 로맨스",1, 관람객 노잼 평점에 속아봤다.. 
13,너의 결혼식,2018,"멜로, 로맨스",8, 관람객 처음에는 가볍게 느껴졌지만 진실함이 묻어나는 영화 
14,너의 결혼식,2018,"멜로, 로맨스",8, 관람객 잔잔하고 보는 내내 아련하고 눈물나고 죽는줄알앗네요김영광 흥해라 ㅋ 
15,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 설렌다 두번보자 세번보자 
16,너의 결혼식,2018,"멜로, 로맨스",4, 관람객 글쎄요...티비로 보는 명절용 영화 같다는 
17,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 김영광이 너무 잘생겼음 
18,너의 결혼식,2018,"멜로, 로맨스",6, 관람객 건축학개론이 훨씬나음 ㅋ 
19,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 끝날때까지 끝난게 아니란걸 배웠네요 
20,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 첫사랑이 생각나서 가슴이 아프네요... 
21,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 영화를보며 설레이기도했고 슬프기도 했구요 그리고 박보영 배우님의 오열씬에서 정말 눈물이 왈칵 재미나고 즐거운 영화 였어요 
22,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 그시절 우리가좋아했던소녀 느낌나면서보는내내 웃고 울었습니다무엇보다 박보영 너무 이쁨 
23,너의 결혼식,2018,"멜로, 로맨스",1, 관람객 남자친구랑 봤는데 정말 별로에요 너무 유치해요 
24,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 박보영너무이뻐요!! 
25,너의 결혼식,2018,"멜로, 로맨스",8," 관람객 현실에선 욕먹을 짓,박보영씨보고 참습니다 "
26,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 영화를 보고 떠올릴수 있는 사람을 만난 당신은 엄청난 행운아 
27,너의 결혼식,2018,"멜로, 로맨스",10, 관람객 박보영 너무 예뻐요..!! 강추ㅎㅎ재미도 있구 
28,너의 결혼식,2018,"멜로, 로맨스",8, 관람객 와..케미 ㅠㅠ 엄청 잔잔할줄 알았는데 그렇진 않았음 
