,title,year,genre,score,review
0,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",8, 나는 본 작품이 끝났을 때 기립박수를 쳤을 것이다. 전문 성우들에게 더빙을 맡겼더라면 말이다. 
1,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",9, 한국 애니메이션이 자랑스럽게 느껴지네요 
2,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",1, 애니 자체는 괜찮은데 더빙 때문에 몰입이 안되네요. 두 주연캐릭터가 다....소리의 중요성을 새삼 깨닫게 되네요. 
3,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",5, 더빙이 망친 만화 문소리가 제일 최악이였다. 
4,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 죽어가던 한국 애니메이션 산업에 생명을 불어넣어준 애니메이션입니다. 수년 넘게 준비한 만큼 진짜 명작이네요. 원작 보고 왔는데 진짜 감동적입니다.명작. 흑흑흑 슬퍼서 안구에 습기가 차네 
5,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",1, 내용도 좋고 감동있는 영화였지만 문소리씨하고 유승호씨 목소리가 이 영화랑 조화를 안 이루네요. 듣기 불편했어요 
6,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 더빙은 좀 에러지만.... 그래도 이게 국산 애니메이션이라니 ㅜㅜ 
7,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",9, 좋은 영화다 좋은 영화 동화 임에도 미화가 없다 삶과 죽음과 순환이 명확하다 동화면서도 동화 같지 않다 
8,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",8, 전문 성우가 맡았으면 좋았을텐데.. 그래도 작품 자체는 완성도있고 무난하게 잘 만들었음 ;) 
9,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",1, 제작사 입장에선 광고효과를 노린거겠지만 제발 만화영화에 연예인좀 안썼으면 ㅡㅡ 진짜 듣기 불편하고 몰입이 안돼네요. 이럴거면 전문성우들이 왜 있는지.. 
10,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 네살 아들과 보려고 다시 봤는데 역시 너무 감동적이었어요~마지막에 초록이 떠날 때 아이와 같이 울었네요ㅠㅠ 처음 볼때부터 문소리씨 목소린줄 모르고 봐서그런지 이상한지 모르겠던데..전문성우가 아니라 망했다는건 말도 안... 
11,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",8, 한국 애니메이션의 발판 해리포터와 죽음의성물1을 보러갔으나표가없어서 어쩔수없이보게된 영화처음엔 내용을 다알고있어서 지루할꺼라고생각했지만처음으로 영화보면서 울었다. 
12,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",8, 더빙을 새로 해주면 극장가서 다시 볼 의향 있는 영화. . . .연예인더빙해서 흥했던적은 한번도 없었어 
13,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10," 아시는분은알겠지만족제비성우분은리그오브레전드의 ""소환사의협곡에오신것을 환영합니다""""제압돼었습니다"" 등의 성우분이십니다 "
14,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 말이 안나오게 개명작.... 이제부터 영화 마니마니 볼꺼에요!!ㅠㅠㅠㅠㅠㅠㅠㅠㅠ 아 보고 마지막에 개울었어요 ㅠㅠㅠ 
15,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 옆에 있는 엄마가 보고싶어지는 작품 
16,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 7번방의 선물 볼 때는 알면서 운다는 느낌이 있었지만 마당을 나온 암탉은 나도모르게 마음이 뭉클해지면서 눈물이 나는 한국 애니매이션 영화였다.정말 명작이다.흔한 헤피엔딩 스토리와 다르고 현실적인 면도 있을 분더러 감... 
17,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 초록이때문에 눈물난뻔 ㅜㅜ 
18,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",8, 이거 작년에 봤는데 유치할줄 알았는데 재밌더라고요 
19,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",9, 참 좋은데.. 암닭의 목소리가 거북했어요. 초반엔 그만볼까 할 정도로...내용이 점입가경이라 참고 봤지만...알고보니 문소리씨가 암닭 성우였군요. 성우선택에 신중하길 바랍니다. 목소리만 어울린다면야 연예인을 기용할 ... 
20,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 모정과 부정을 진정으로 느낄수 있었던 애니였던것 같아요!! 이제서야 봤지만 감동 그자체였어요^^ 
21,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",9," 동생들과 부모님 같이 보았는데, 눈물이 고일 정도로 슬프면서도 감동을 주는 영화였습니다. 너무 멋졌습니다. "
22,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",5, 더빙때메 평점 다 말아먹을줄 알았어;;; 진짜 더빙 최악ㅋㅋㅋ 
23,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10," 저 역시 성우가 아쉽다는 생각이 들지만, 그럼에도 불구하고 너무 감동적이었습니다. "
24,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 내가 봇 영화중에 가장 슬프고 재밌었다.하지만 역시 소설이 더 좋다. 
25,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 감동... 
26,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 누가 뭐래도 난좋다원작을 책으로 봤을때도 울었던 기억에 이 애니메이션을 보았었다.오랫만에 펑펑다시 울게되었다. 이 영화 난좋다 
27,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 더빙이 최악이었고 뭐고를 떠나서 마지막 장면 하나만으로도 난 10점을 주고싶다... 
28,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, Good 
29,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",1, 문소리랑 유승호목소리 조나이상함 ㅡㅡ 거슬려 OOO 성우일거리뺏고앉아잇네ㅡㅡ 
30,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",1, 더빙 OOO기다 잘하는 성우들 나두고 뭔짓거리냐 내용만 좋으면 단줄아냐 
31,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 정말 감동적인 애니메이션이 었다. 첫 애니메이션에 비해 정말 잘 만든 것 같다. 
32,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",9, 정말 감동적이고 잘만든 애니에요 다만 연기자들의 대사 표현방식과 성우들의 그것과는 다른것같아요. 애니를 감상하기에 많이 부족한것은 아니엇지만 분량이 많은 잎싹이랑 초록이는 전문성우들이 햇더라면하는 아쉬움은 남네요 하... 
33,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",9, 성우 때문에 5점 주고 싶지만 한국애니 잘되라고 9점 
34,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 재미있네요 
35,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",8, 진짜 한번씩 목소리 듣다가 짜증나서 몰입을 못하겠음. 대체 왜 전문 성우들 놔두고... 후... 
36,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 이 명작을 왜 전문성우가 안했어요ㅠㅠ 그래도 내용은 좋으므로 10점 
37,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 정말 감동있고 재밌었어요 이거학교에서봤는데 여자에들 거의디 펑펑울고있었어요 저도 울었는데 
38,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",1, 아쫌! 전문 성우 써라 좀!!!! 오죽했으면 내가 검색을 해서 잎사귀 성우가 누군지 확인을 했을까..ㅡ.ㅡ;;;; 명작을 망작 만든 목소리들...아놔 진짜...목소리만 둥둥 떠다니고 목소리 때문에 집중 하나도 안됨... 
39,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",7, 스토리 내용은 괜찮았지만... 더빙 은 진짜... 손발이 오글오글 아니 어쩜 이렇게 더빙을 이렇게 할수 있지? 라는 생각이 들정도로 이질감이 심했어요 .. 연예인 더빙 다시는 안본다. 쪽팔려 볼수가 없... 
40,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 다 큰 어른을 칠칠 맞게 울린 영화. 
41,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",9, 더빙된 목소리는 캐릭터와 잘 어울리지 않았다. 그나마 달수 역할하신 박철민씨의 목소리 연기는 괜찮았다고 생각한다. 무엇보다 작품이 정말 훌륭하다. 
42,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",7," 동화적인 분위기를 살려준 음향, 귀여운 그림체, 아기자기하고 짙은 감동까지 주는 대사, 컷 하나하나 끊을 때마다 너무 예쁘고 아름다운 느낌. 이 모든걸 깔끔히 말아먹는 더빙. "
43,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",8, 다 좋은데 더빙은 꼭 유명인으로 해야 했을까 
44,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 제가 본 우리나라 애니메이션 중에 진짜 짱이에요!배우 들 목소리도 무지 좋았고 내용도 감동 적이에요!앞으로도 이런 애니메이션 만들어주세요!별점 10점! 
45,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",5, 애니메이션은 엄청 잘만들었는데 성우들때문에 별점깍음 
46,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 전문성우로 재더빙해서 재개봉하세요 그럼 다시 200만 모을 수 있음 
47,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",6, 진짜명작은 연예인 성우 안써도 알아서 사람들이 몰려든다. 
48,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 보고 울었어요....정말 감동적입니다. 
49,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",9, 한국만화의 명작이라 할만하다 단지 유승호의 발연기는 진짜 못들어주겠다 ㅡㅡ;나머지는 그럭저럭 들을만한데 
50,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",5," 전문성우를 썼더라면 더 좋았을듯 하다만, 뭐 그래도 평균적인 연예인 더빙들보다는 나음. 박철민이 맡은 수달과 최민식이 맡은 오리는 전문성우 못지않게 훌륭한듯. "
51,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 와 마지막 장난아니네 슬프다 
52,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10," 아주 재밌는 영화이다.한국애니가 자랑스러워 진다.잎싹이, 초록이, 나그네, 달수 모두 너무너무 좋아>.< "
53,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10," 하지만, 겨울에 자기자식들에게 젖을 물려야 해서 어쩔 수 없이 암탉을 잡아먹어야 하는 자기 현 상황에 탄식을 하면서 우는 거인 것 같아요. "
54,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",8," 정말 왜 이리 아쉽지 그림체 너무 밝고 이쁘고 아름다웠는데,... 목소리 유명 연예인 꼭 해야하나 참 듣기 거북하고 너무 어울리지 않았다 "
55,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",1, 애니는 성공했다 하지만 연기는 실패했다.. 연극 배우는 연극에 어울리지.. 괜히 성우라는 직업이 따로 있는게 아니다.. 영화는 연극배우 애니매이션은 성우에게.. 제발.. 영화를 망치지 맙시다 
56,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10," 왜 마지막 부분에 족제비가 눈물을 흘렸나 궁금하세요? 그것은요.. 암탉이 보여줬던 자기자식을 위해 제 몸하나 상관치 않고 자식을 챙기고 구하고 하는 모습을 보면서, 참 좋은 어미다라고 생각하죠. 이어서... "
57,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10," 별점을 주는 와중에도 눈물이,ㅡㅜㅡㅜ 엄마들에게 강추 영화 "
58,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 진짜 대박이에요....보고 움 ㅠㅠㅠ 
59,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 재미당~~~ (^~^) 
60,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 짱짱짱 
61,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",8, 문소리는 다시 소리내지말아라 
62,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 제발 애니메이션엔 일본처럼 전문 성우를 씁시다! 
63,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 정말 재밌다. 한국 애니메이션의 자랑이다. 
64,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 말할것도 없음 그냥 보셈 
65,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 처음부터 끝까지 계속 울면서 봤어요 감동적이고 많은 교훈이 있네요 그림도 멋지고 내용도 좋은 애니를 우리나라에서 만들었다니 참 기분 좋습니다 
66,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",9, 투니버스에서 보여주길래 봤는데 ㅋ 결말이... 충격적;; 
67,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",8, 성우 잘 뽑아야해요.. 
68,마당을 나온 암탉,2011,"애니메이션, 가족, 모험, 드라마",10, 보면서 눈물이 나오네요.. 
