,title,year,genre,score,review
0,부산행,2016,"액션, 스릴러",10, 관람객 그냥 한국형 좀비물이 어색하지 않았다는 거에 큰 점수를 주며 앞으로의 한국영화를 기대해봅니다. 
1,부산행,2016,"액션, 스릴러",10, 관람객 생각보다 너무 재밌었다 
2,부산행,2016,"액션, 스릴러",10, 관람객 마동석 진짜 웃겨요 사랑해요 
3,부산행,2016,"액션, 스릴러",9, 관람객 한국에서 볼 수 없었던 영화 
4,부산행,2016,"액션, 스릴러",5, 관람객 심은경 열연 감동했어요. 
5,부산행,2016,"액션, 스릴러",10, 관람객 재밌네요!추천!전 지루하지않고 재밌게 ㅤㅂㅘㅅ습니다 
6,부산행,2016,"액션, 스릴러",8, 관람객 재난영화에서 언제까지 여성은 연약하고 수동적이어야만 하나 
7,부산행,2016,"액션, 스릴러",8, 관람객 처음 좀비나왔을때는 유치할꺼라 생각했는데 보는내내 재밌고 시간가는줄 몰랐어요 
8,부산행,2016,"액션, 스릴러",5, 관람객 영화에 온전히 몰입하기엔 생각보다 연기력이 아쉬운 몇몇사람들.. 
9,부산행,2016,"액션, 스릴러",8, 관람객 좀비물인데 15세라 별거없겠지 하고 보러갔는데나름 위압감있는 좀비의 공세에 놀랐습니다.물론 장기파티도 안나오고 다소 진부한 전개와 한국전통의 가족애는 여전하지만 잘 뽑힌 좀비영화내요.그나저나 꼰대 한놈 때문에 몇명... 
10,부산행,2016,"액션, 스릴러",6, 관람객 초반엔 고속질주 후반엔 급브레이크 
11,부산행,2016,"액션, 스릴러",8, 관람객 이런류 영화 좋아요 아주아주 
12,부산행,2016,"액션, 스릴러",10, 관람객 다른사람들은 재미없다는데 난너무재밌음ㅋㅋ또보고싶다ㅋ 
13,부산행,2016,"액션, 스릴러",9, 관람객 영화 보는 내내 긴장의 끈을 놓을 수가 없었고.. 마지막엔 슬퍼서 눈물 쪼꼼 났어요..ㅜ 
14,부산행,2016,"액션, 스릴러",6, 관람객 아역배우랑 소희의 연기력이 아쉽네요.결말도 허무하구요. 
15,부산행,2016,"액션, 스릴러",5, 관람객 기대없이 봐서 재밌게 봤어요 영화내용이 이런 사건이 생긴 이유나 해결방법 등 전혀 없이 그냥 계속 쫓기고 죽다가 끝나서 조금 허무하긴 하지만 스릴넘치네요 
16,부산행,2016,"액션, 스릴러",1, 관람객 마지막 아이의 노래를 듣는순간 짜증나서 내가 좀비로 변할것 같았다 
17,부산행,2016,"액션, 스릴러",9, 관람객 원래 sf나 좀비 같은 실제하지않는 허구의 영화를 좋아해서 별점은 높다. 실제로 영화도 재밌다. 그러나 아쉬운건 영화 초반 감염경로나 마지막 결말부분이 너무 부족한게아닌가... 
18,부산행,2016,"액션, 스릴러",1, 관람객 꼭 조연들은 물리면 일초만에 좀비되고 주요인물들은 하루 죙일 감정잡다 적당한 타이밍에 변하냐? 그 외에도 좀비들이 달리는 기차에 뭉텅이로 매달리질 않나 갑자기 불타서 선로막는 기차에 코미디 수준 ㅋㅋ 
19,부산행,2016,"액션, 스릴러",2, 관람객 이건 마동석이 주인공이다 
20,부산행,2016,"액션, 스릴러",9, 관람객 좀비가 나오는 재난영화의 완성도가 이 정도까지라는 점이 굉장히 놀랍다. 재미있게 잘 봤다. 
21,부산행,2016,"액션, 스릴러",6, 관람객 후반부가 허무했어요. 
22,부산행,2016,"액션, 스릴러",8, 관람객 신파는 좀 뺐으면 합니다.. 
23,부산행,2016,"액션, 스릴러",3, 관람객 신파가 영화를 망쳤다. 공유의 분유광고는 덤. 
