,title,year,genre,score,review
0,살인의 추억,2003,"범죄, 미스터리, 스릴러, 코미디, 드라마",10, 한국 역사상 최고의 영화다. 더 이상 이런 영화 못 나올 뜻 싶다. ㅎ 
1,살인의 추억,2003,"범죄, 미스터리, 스릴러, 코미디, 드라마",8," 지금 시대면 충분히 잡았을 살인범인데 아쉽네요ㅋㅋ 시대배경 연출이 정말 대단하네요, 제대로 몰입하고 볼수있있었고, 여운이남네요. "
2,살인의 추억,2003,"범죄, 미스터리, 스릴러, 코미디, 드라마",9, 매력적인 한국 스릴러 영화의 쾌거. 봉준호의 독특한 감각과 두드러지는 블랙 코미디. 
3,살인의 추억,2003,"범죄, 미스터리, 스릴러, 코미디, 드라마",10, 봉준호의 팬이지만 봉준호가 다시 이만큼의 영화를 만들어낼수있을까 회의적일정도로 최고의영화다. 진심 우리나라 영화사상 이런영화 다시는 못나올듯. 단 1초의 씬에서라도 단 하나의 대사 인물 소품까지 절대 허투루쓰인게 ... 
4,살인의 추억,2003,"범죄, 미스터리, 스릴러, 코미디, 드라마",10, 그냥~ 최고!!! (10번 넘게봄 ㅎㅎ) 
5,살인의 추억,2003,"범죄, 미스터리, 스릴러, 코미디, 드라마",10, 연출은 서양..미장센은 전형적인 한국화...이건 히치콕도 못만든다 
6,살인의 추억,2003,"범죄, 미스터리, 스릴러, 코미디, 드라마",10, 실화라서 안타깝지만 영화로만본다면 최고의한국영화다. 
7,살인의 추억,2003,"범죄, 미스터리, 스릴러, 코미디, 드라마",10, 밥은 먹고 다니냐? 
8,살인의 추억,2003,"범죄, 미스터리, 스릴러, 코미디, 드라마",10, 오늘 범인잡혔다 닫힌결말이다 
9,살인의 추억,2003,"범죄, 미스터리, 스릴러, 코미디, 드라마",10," 촬영기법이나 배우들의 연기 , 대사 뭐 하나 빼 놓고 볼게 없다 "
10,살인의 추억,2003,"범죄, 미스터리, 스릴러, 코미디, 드라마",10, 정말... 마지막 아이와 대화 부분에서 깊은 안타까움을 느꼈어요... 
11,살인의 추억,2003,"범죄, 미스터리, 스릴러, 코미디, 드라마",10," 올드보이,공동경비구역JSA와 더불어 대한민국영화의 3TOP "
12,살인의 추억,2003,"범죄, 미스터리, 스릴러, 코미디, 드라마",10, 이제서야 별점을 남기네. 이 영화가 걸작이라는건 시나리오 배울때 항상 거론된다는 점. 마지막에 멍한 송강호의 얼굴과 그것을 보며 같이 멍한 우리. 관객과 배우가 동일한 기분을 느끼는 최고의 순간이다. 
13,살인의 추억,2003,"범죄, 미스터리, 스릴러, 코미디, 드라마",10, 역대 한국영화중 이만큼 완벽한 영화를 본적이 없다 
14,살인의 추억,2003,"범죄, 미스터리, 스릴러, 코미디, 드라마",10, 한국영화 2003년은 축복이었다 
15,살인의 추억,2003,"범죄, 미스터리, 스릴러, 코미디, 드라마",10, 사람이 표현의 자유가 있다지만 이영화를 6점이하주는놈들은 영화볼자격이 없는놈들이다 
16,살인의 추억,2003,"범죄, 미스터리, 스릴러, 코미디, 드라마",10, 희대의 명작!송강호의 미친 연기 덕분에 영화에 빠져들어 볼 수 있었다 
