,title,year,genre,score,review
0,써니,2011,"코미디, 드라마",7, 이 영화의 최대 단점은 마지막 돈으로 해결되는 부분들 
1,써니,2011,"코미디, 드라마",10," 난 70,80시대에 학창시절을 겪지않고 2000년대에 학창시절을 보냈다. 하지만 써니라는 영화는 시대를 떠나 나를 비롯해 많은사람들의 공감을 이뤄냈을거라 생각한다. 영화보는 내내 소름돋았다. 아름다운영화다 이것이 영... "
2,써니,2011,"코미디, 드라마",10, 역쉬 인생에 진정한친구는 중.고등학생때 친구지 
3,써니,2011,"코미디, 드라마",7, 과거 회상 장면은 나도 모르게 눈물이. 젊은 날의 회고록. 
4,써니,2011,"코미디, 드라마",10, 결말을 이해못하신건가? 수지랑 재회하면서 끝난 마지막장면은 열린결말로 정말 깔끔하고 완성도도 높다. 아직 어리다면 웬 욕만 많이하다 끝나나 하겠지만 우정이라는 큰 타이틀 속에 적절히 그 시대를 유머스럽게 풍자한 연출... 
5,써니,2011,"코미디, 드라마",8, 마지막 돈으로 해결하는것에 아쉬운 결말이라는 의견이 많은데.. 남은친구들을 위한 친구로써 할수 있는 도리를 다한것 아닌가란 생각이드네요.. 물질적이기 보다 의미에 의의를 둔다면 아주 아쉽지만은 않은 결말같습니다.. 
6,써니,2011,"코미디, 드라마",10, 이건 영화 친구와는 또다른 친구의 우정을 생각하게하는 영화입니다. 
7,써니,2011,"코미디, 드라마",10, 다섯번째봤지만 여전히재미있다 
8,써니,2011,"코미디, 드라마",9, 민효린 진짜 이쁘네. 
9,써니,2011,"코미디, 드라마",10, 진심으로 이 영화를 20번 가까이 봤어요...그런데 전 이영화가 싫어요...이 영화를 보고 자꾸 옛 향수에 빠져서 견딜 수가 없어요....근데 지금 또 보고 있어요..80년대 그때가 그리워요..너무 그리워요 
10,써니,2011,"코미디, 드라마",10," 난 한국영화는 거기서거기 라고 생각했다.써니는 달랐다. 이런 한국영화가 있다니 신기하고 감사하다. 분위기가 정말 훈훈하고 예쁘다, 작품성이 있고 특히 어른나미와 어린나미가 만나 끌어안는 장면을 보며 참 좋은 설... "
11,써니,2011,"코미디, 드라마",10, 현재랑 과거랑 오버랩시키는 타이밍이랑 촬영 아이디어가 너무좋아서 부드럽게 ㅤㅂㅘㅅ어요 ㅠ 
12,써니,2011,"코미디, 드라마",8, 재미있게 봤다. 마지막 춤추는 장면은 웃기지가 않고 감동스럽더라... 
13,써니,2011,"코미디, 드라마",7, 배우들의 연기가 뛰어나다. 삶이나 우정에대해 좀 더 생각하게 해준다. 뒷맛은 다소 씁쓸.. 
14,써니,2011,"코미디, 드라마",9, 민효린 얼굴다칠때 옆커플 여자가 소리질러내서 나혼자 영화보러간 내모습이 너무슬퍼보여서 1점깎는다 
15,써니,2011,"코미디, 드라마",10, 사랑은 변할지라도 친구와의 우정은 변하지 않는다.잊지 못할 영화였어요. :) 
16,써니,2011,"코미디, 드라마",10, 본드걸 천우희연기 ㅎㄷㄷ심은경 강소라 쩌리됨ㅋㅋㅋ 
17,써니,2011,"코미디, 드라마",10," 처음 볼 땐 기냥 재밌었는데 두번, 세번 보다보니까 뭔가 아련하고 좀 슬픈 것 같아요. 강소라씨 이런 캐릭터 너무 매력있는데 요즘엔 너무 여성스러운 캐릭터같아서 좀 아쉬움...요런 박력넘치는 캐릭터로 다시 만나고 ... "
18,써니,2011,"코미디, 드라마",7, 아쉽습니다 감독판으로 보는내내 좋았지만 아쉬운건 수지이야기가 너무 적다는것 그리고 춘화와 친했던 본드흡입하는 애의 과거이야기나?폭동이나 선생이 학생들을 패는장면 전에 비하인드 스토리가 있으면 어떨까 전체적인 틀은 잘... 
19,써니,2011,"코미디, 드라마",10, 명작 
20,써니,2011,"코미디, 드라마",10, 진짜 너무너무 재밌었음. 영화도 재밌었고 음악들도 신났고~ 
21,써니,2011,"코미디, 드라마",10," 보면서 웃고 울었다. 저 시대를 살아온 엄마도, 딸인 나도. "
22,써니,2011,"코미디, 드라마",8, 너무 재밌게 봤지만 마지막 유산 분배가... 
23,써니,2011,"코미디, 드라마",10, 나도 이런친구 있었으면 좋겠다 
24,써니,2011,"코미디, 드라마",10, 나 이거 8번봄 
25,써니,2011,"코미디, 드라마",10, 영화정말 잘 만들어 부렀어 특히 리얼리티 노래 ㅋㅋㅋㅋ 
26,써니,2011,"코미디, 드라마",10, 개잼슴bb 
27,써니,2011,"코미디, 드라마",10, 엄마가 된 지금.. 친구들과의 추억을 곱씹으며 다시 여고생이 된 기분이 드는.영화..그리고 나이 드신 엄마를 생각하면 더더욱 눈물나는 영화.. 
28,써니,2011,"코미디, 드라마",10, 몇번을 봐도 질리지 않는 영화. 
29,써니,2011,"코미디, 드라마",8, 너무 감동이에요 눈물은 안나지만옛날 시대 배경을 잘표현한것 같아요아역들과 성인배우들과 싱크로율도 좋아서몰입하기도 좋네요 그리고 확실히 19금판이랑 15금이랑 차이가 있네요 아무튼 좋앗어요 
30,써니,2011,"코미디, 드라마",10, 이런게 영화다 쩔어 쩔어 
31,써니,2011,"코미디, 드라마",10," 금전적인 부분이 별로라고 하는 사람들이 있는데 뭐 그런게 중요한가? 잘 산다고 쌩까면 응징하고, 못 사는 애 있으면 잘 살때까지 못살게 굴거라고 약속한게 중요하지. 그냥 의리라고 생각하면 되는 것 같슴다. ㅎㅎ "
32,써니,2011,"코미디, 드라마",10, 이젠 Sunny 노래만 들어도 저절로 떠오르게 되는 영화 '써니' 그리고 영화 속의 장면들친구들이 보고싶어지고 또 한편으로 아련해지게 만드는 영화 
33,써니,2011,"코미디, 드라마",10, 저도 지금 중ㅇ학생인데 이런 추억 꼭 만들고 싶어요ㅠㅠ 
34,써니,2011,"코미디, 드라마",10, 천우희가 갑임 본드연기 개쩔었슴 임나미!!!! 
35,써니,2011,"코미디, 드라마",9, 굉장히 심오한 메세지를 담고있는 영화다. 학생운동하면서 정의를 논하던 오빠가 악덕 업주가 되고 친구라는것도 결국 돈이 있어야 아름다운 마무리가 가능하다는 지독히도 현실적인 메세지 
36,써니,2011,"코미디, 드라마",10, 정말 옛시절을 생각하게하는 추억의영화.. 감동의 우정 
37,써니,2011,"코미디, 드라마",10, 다시봐도진짜재밌고감동이다진짜.최고다 
38,써니,2011,"코미디, 드라마",10, 전 한번 본영화는 질려서 잘안보는편인대써니는 언제봐도 재미있네요 ^^ 
39,써니,2011,"코미디, 드라마",8, 이제서야 봤지만 과거를 소재로 한것치곤 꽤 괜찮은 영화였다 돈얘기가 많은 것 같은데 오히려 금전적 요소를 우정과 대치시켜 생각하는 것 자체가 편견에 빠진 사람들같다 돈이 우정을 대변하진 않지만 어떤 사람들에겐 돈이... 
40,써니,2011,"코미디, 드라마",10, 최고! 보고또보고두번보고세번보고 다섯번보고 
41,써니,2011,"코미디, 드라마",10, 남성들만 찬란한 학창시절이 있는 것은 아니다. 여성들에게도 다시 오지 않을 철없지만 아름다웠던 질풍노도의 시기. 
42,써니,2011,"코미디, 드라마",10, 파란만장했던 시절의 추억이 가슴 뭉클하게 떠오른다 영화에 인물들처럼 우정스러운 친구는 내 곁에 없지만그래도 내가 한때 순수하게 꿈을 꾸고 노는것을 정말좋아했던 어렸을때에 내가 그리워져서 감동받았다 
43,써니,2011,"코미디, 드라마",10, 저희 어머님이 이 영화를 보고 울고 웃고 하시고 옛 생각 난다고 많이 씁쓸한 표정 지으셨어요 
44,써니,2011,"코미디, 드라마",9, 본드걸 상미의 이야기가 좀더 있었다면 좋겠는데 ㅠㅠ 보면서 상미가 불쌍하고 짠했다... 아무튼 6년이 지난 지금까지도 찾아보게되는 써니 명작이다 진짜 
45,써니,2011,"코미디, 드라마",10, 성인 나미가 써니멤버들이랑 찍으며 놀았던 영상 보는장면에서 멤버들이 각자의 꿈 이야기할때 너무 슬프면서 애틋했음 개인적으로 써니 최고 명장면 
46,써니,2011,"코미디, 드라마",10, 재미잇음너무재미잇음 
47,써니,2011,"코미디, 드라마",7, 슬픈 영화고 무서운 영화같아요. 다같이 좋았던 어린 시절과 달리 어른이 되버리고 삶의 모습이 차이가 나버리는게 정말 무섭고 슬픈 현실이잖아요... 
