title,tag
내부자들,"['2015', '범죄', '이병헌', '연기', '배우', '최고', '조승우', '재밌다', '좋다', '역시', '현실', '연기력', '재미있다', '스토리', '모히또', '부자', '사람', '병헌', '몰디브', '대박', '평점', '백윤식']"
가장 보통의 연애,"['2019', '멜로', '로맨스', '연애', '공감', '보통', '공효진', '김래원', '좋다', '배우', '재밌다', '평점', '연기', '스토리', '아깝다', '가장', '현실', '사람', '안되다', '별로', '시간', '대사']"
그것만이 내 세상,"['2017', '코미디', '이병헌', '연기', '감동', '좋다', '배우', '박정민', '역시', '최고', '재밌다', '피아노', '눈물', '연기력', '한지민', '윤여정', '뻔하다', '재미', '병헌', '스토리', '가족', '슬프다']"
남한산성,"['2017', '드라마', '역사', '지루하다', '배우', '연기', '좋다', '재미없다', '아깝다', '평점', '연기력', '최고', '재미', '재밌다', '사람', '이병헌', '사극', '감동', '노잼', '시간', '지루함']"
해적: 바다로 간 산적,"['2014', '모험', '재밌다', '김남길', '해적', '유해진', '좋다', '명량', '재미있다', '연기', '코믹', '손예진', '배우', '유쾌하다', '최고', '재미', '완전', '시원하다', '평점', '웃음', '가족']"
돈,"['2018', '범죄', '재밌다', '연기', '류준열', '좋다', '배우', '주식', '시간', '스토리', '재미있다', '류준', '유지태', '평점', '알바', '재미', '사람', '아깝다', '작전', '부자', '결말']"
뺑반,"['2018', '범죄', '연기', '배우', '재밌다', '류준열', '좋다', '조정석', '스토리', '아깝다', '공효진', '개연', '지루하다', '액션', '알바', '평점', '시간', '연기력', '직업', '최고', '뺑반']"
도어락,"['2018', '스릴러', '무섭다', '답답하다', '현실', '공효진', '주인공', '혼자', '재밌다', '범인', '연기', '고구마', '사람', '공포', '좋다', '스릴러', '경찰', '아깝다', '여자', '뻔하다', '도어']"
봉오동 전투,"['2019', '액션', '좋다', '배우', '연기', '우리', '독립군', '가슴', '역사', '감동', '독립', '독립운동가', '야하다', '재밌다', '지금', '만세', '유해진', '일본', '최고', '나라', '존경', '대한민국']"
곤지암,"['2017', '공포', '무섭다', '공포영화', '아깝다', '공포', '소리', '사람', '귀신', '재미없다', '평점', '노잼', '알바', '처음', '곤지암', '급식', '무서움', '한국', '시끄럽다']"
1917(1917),"['2019', '드라마', '전쟁', '테이크', '연출', '촬영', '스토리', '좋다', '전쟁영화', '기생충', '몰입', '최고', '느낌', '작품', '주인공', '연기', '장면', '긴장감', '기법', '시간', '포함']"
서치 아웃,"['2019', '스릴러', '연기력', '재밌다', '최악', '이시언', '연기', '예능', '제발', '스릴', '한국', '장난', '자체', '그만하다', '배우', '넘치다', '다행', '영화배우', '어마어마하다', '공포', '용구성']"
덕구,"['2017', '드라마', '이순재', '연기', '눈물', '감동', '배우', '좋다', '할아버지', '슬프다', '선생님', '최고', '덕구', '따뜻하다', '처음', '마음', '펑펑', '가슴', '사랑']"
가버나움,"['2018', '드라마', '마음', '가슴', '좋다', '현실', '아프다', '눈물', '마지막', '많다', '부모', '사람', '연기', '어른', '우리', '감동', '인생', '모습', '난민', '세상', '슬프다']"
어벤져스: 엔드게임,"['2019', '액션', '마블', '어벤져스', '재밌다', '아이언맨', '최고', '마지막', '사랑', '좋다', '사람', '엔드게임', '감동', '재미있다', '히어로', '눈물', '시리즈', '인생', '아쉽다', '슬프다', '장면']"
인셉션,"['2010', '액션', '최고', '놀란', '인셉션', '인생', '이해', '개봉', '감독', '다시', '명작', '사람', '재밌다', '지금', '작품', '대단하다', '현실', '처음', '천재', '마지막']"
작은 아씨들(Little Women),"['2019', '드라마', '좋다', '감동', '연기', '배우', '사랑', '잔잔하다', '자매', '재밌다', '따뜻하다', '원작', '이야기', '포함', '아름답다', '스토리', '연출', '에이미', '지루하다', '인생']"
그린 북,"['2018', '드라마', '좋다', '감동', '사람', '최고', '따뜻하다', '편견', '연기', '많다', '차별', '잔잔하다', '흑인', '마음', '재미', '여운', '작품', '배우', '재밌다', '인종차별', '셜리', '음악']"
포드 V 페라리,"['2019', '액션', '재밌다', '최고', '연기', '베일', '좋다', '포드', '레이싱', '페라리', '시간', '사람', '크리스찬', '포함', '스토리', '자동차', '감동', '심장', '엔진', '데이먼', '소리']"
