,title,tags
0,리틀 포레스트,"['힐링', '잔잔', '마음', '편안', '시골', '음식', '재미', '김태리', '좋은', '행복', '기분', '일본', '시간', '원작', '좋았', '자연', '사람', '배우', '요리', '귀농']"
1,아가씨,"['반전', '재미', '김민희', '기대', '별로', '연기', '박찬욱', '감독', '배우', '스토리', '아름', '노잼', '실망', '동성애', '장면', '시간', '하정우', '지루', '이해', '없고']"
2,너의 결혼식,"['박보영', '첫사랑', '김영광', '재미', '사랑', '연기', '재밌게', '재밌', '마음', '기대', '타이밍', '재밌었', '추억', '여운', '배우', '실적', '연애', '중간', '다시', '공감']"
3,부산행,"['좀비', '재미', '한국', '공유', '마동석', '연기', '기대', '감동', '스토리', '재밌게', '있게', '사람', '스릴', '부산', '우리나라', '마지막', '한국영', '별로', '최고', '억지']"
4,신과 함께1,"['재미', '감동', '눈물', '원작', '기대', '연기', '스토리', '웹툰', '마지막', '배우', '별로', '억지', '지루', '유치', '시간', '처음', '까지', '신파', '어서', '하정우']"
5,살인의 추억,"['범인', '최고', '감독', '봉준호', '다시', '명작', '한국영', '살인', '한국', '송강호', '마지막', '추억', '소름', '이춘', '사건', '드디어', '이런', '연기', '연출', '작품']"
6,"장화, 홍련","['공포영화', '최고', '공포', '한국', '아름', '반전', '스토리', '연기', '음악', '임수정', '다시', '마지막', '슬픈', '명작', '영상', '작품', '분위기', '없는', '장면', '여운']"
7,써니,"['감동', '재미', '써니', '추억', '친구', '최고', '다시', '우정', '구들', '마지막', '장면', '학창시절', '연기', '시절', '좋은', '이런', '공감', '눈물', '결말', '사람']"
8,초능력자,"['강동원', '고수', '평점', '재미', '연기', '소재', '초능력자', '배우', '스토리', '결말', '사람', '이런', '재밌게', '감독', '초능력', '마지막', '나름', '좋은', '캐스팅', '재밌']"
9,마당을 나온 암탉,"['감동', '성우', '애니메이션', '더빙', '한국', '목소리', '눈물', '애니', '마지막', '재미', '암탉', '작품', '문소리', '엄마', '잎싹', '최고', '스토리', '배우', '유승호', '우리나라']"
10,바닷마을 다이어리,"['잔잔', '아름', '일본', '가족', '마음', '이야기', '자매', '감동', '따뜻한', '사람', '유의', '감독', '히로', '고레', '좋은', '마을', '감성', '행복', '기분', '일상']"
11,캐롤,"['사랑', '눈빛', '아름', '캐롤', '케이트', '연기', '블란쳇', '사람', '최고', '배우', '마지막', '여운', '장면', '음악', '레즈', '감정', '까지', '엔딩', '모든', '영상']"
12,미녀와 야수,"['엠마왓슨', '노래', '야수', '원작', '재미', '디즈니', '평점', '아름', '스토리', '뮤지컬', '감동', '연기', '기대', '지루', '사랑', '최고', '영상', '실사', '미녀', '사람']"
13,싱 스트리트,"['노래', '음악', '비긴', '어게인', '인생', '최고', '감독', '사랑', '카니', '주인공', '감동', '스토리', '좋은', '좋고', '행복', '원스', '배우', '기대', '재미', '다시']"
14,베이비 드라이버,"['음악', '액션', '스토리', '재미', '베이비', '평점', '주인공', '노래', '전개', '개연', '초반', '중반', '후반', '기대', '갈수록', '까지', '중간', '운전', '없는', '시간']"
15,날씨의 아이,"['스토리', '이름', '작화', '영상', '상미', '신카이', '감상', '마코토', '감동', '작품', '사람', '개연', '감독', '기대', '날씨', '전작', '연성', '보기', '연출', '재미']"
16,시간을 달리는 소녀,"['애니메이션', '최고', '시간', '애니', '감동', '여운', '미래', '다시', '명작', '여름', '인생', '소녀', '일본', '사랑', '순수', '작품', '원작', '마지막', '감독', '호소']"
17,아수라,"['실화', '감독', '다큐', '이재명', '아수라', '평가', '배우', '현실', '안남', '평점', '연기', '성남시', '황정민', '정우성', '재개', '개봉', '성남', '바탕', '다시', '명작']"
18,불한당,"['감독', '연기', '임시완', '배우', '설경구', '연출', '평점', '사람', '느와르', '최고', '재미', '불한당', '때문', '사랑', '여운', '스토리', '까지', '이런', '테러', '보지']"
19,다크 나이트 라이즈,"['다크나이트', '배트맨', '최고', '시리즈', '히어로', '놀란', '명작', '라이즈', '마지막', '완벽', '다시', '영웅', '마무리', '소름', '최고다', '영화관', '베일', '인생', '전작', '감독']"
20,시네마 천국,"['최고', '감동', '인생', '명작', '마지막', '장면', '사랑', '다시', '눈물', '아름', '토토', '추억', '사람', '음악', '가슴', '없는', '프레', '엔딩', '필요', '여운']"
21,헝거게임: 판엠의 불꽃,"['원작', '재미', '제니퍼', '기대', '로렌스', '소설', '배틀로얄', '평점', '부분', '스토리', '헝거게임', '연기', '사람', '게임', '주인공', '재밌게', '생략', '시리즈', '시간', '이해']"
22,무뢰한,"['김남길', '전도연', '연기', '배우', '사랑', '매력', '여운', '무뢰한', '멜로', '상처', '최고', '감정', '이런', '연기력', '감독', '역시', '분위기', '사람', '까지', '장면']"
23,오늘의 연애,"['재미', '이승기', '문채원', '연애', '보기', '연기', '재밌게', '로코', '오늘', '기대', '사람', '달달', '배우', '가볍게', '사랑', '스토리', '재밌', '공감', '오랜만', '연인']"
24,공조,"['현빈', '유해진', '액션', '스토리', '평점', '재미', '연기', '김주혁', '배우', '공조', '알바', '북한', '없는', '까지', '더킹', '윤아', '기대', '시간', '없고', '수준']"
25,블랙 스완,"['연기', '완벽', '나탈리', '소름', '포트만', '최고', '예술', '마지막', '나탈', '리포트', '흑조', '광기', '니나', '연기력', '명작', '연출', '아름', '백조', '까지', '표현']"
26,목격자,"['산사태', '고구마', '범인', '평점', '사람', '개연', '경찰', '처음', '스토리', '답답', '알바', '없고', '최악', '주인공', '감독', '재미', '까지', '없는', '연기', '전개']"
27,007 스카이폴,"['시리즈', '액션', '재미', '지루', '스토리', '평점', '기대', '본드', '오프닝', '최고', '다니엘', '초반', '없고', '처음', '실망', '본드걸', '없다', '까지', '별로', '가장']"
28,간신,"['연기', '배우', '김강우', '스토리', '장면', '주지훈', '연기력', '감독', '연산군', '평점', '잔인', '재미', '없고', '정적', '이런', '시간', '기분', '쓰레기', '간신', '연출']"
29,수상한 그녀,"['감동', '심은경', '재미', '연기', '마지막', '배우', '가족', '평점', '대박', '최고', '웃음', '반전', '완전', '웃기', '엄마', '까지', '있고', '다시', '눈물', '노래']"
