,title,tags
0,82년생김지영,"['여자', '남자', '공감', '여성', '김지영', '사람', '이야기', '엄마', '우리', '평점', '남편', '남성', '현실', '세대', '사회', '어머니', '결혼']"
1,광해왕이된남자,"['이병헌', '연기', '최고', '감동', '광해', '다시', '연기력', '재미', '배우', '사극', '명작', '스토리', '완벽', '몇번', '눈물', '사람']"
2,국가대표,"['감동', '최고', '재미', '국가대표', '눈물', '스포츠', '스키점프', '마지막', '하정우', '다시', '지금', '평점', '명작', '필요', '대박', '처음', '연기', '한국영화']"
3,그녀,"['사랑', '사람', '감정', '영상', '목소리', '공감', '최고', '인간', '연기', '음악', '아름답다', '마음', '소재', '여운', '재미', '지루', '평점', '스칼렛']"
4,그래비티,"['우주', '재미', '최고', '평점', '영상', '사람', '감동', '지구', '지루', '주인공', '스토리', '느낌', '그래비티', '처음', '인생', '아이맥스', '인터스텔라', '시간']"
5,그랜드부다페스트호텔,"['재미', '색감', '영상', '평점', '스토리', '영상미', '동화', '장면', '느낌', '아름답다', '감독', '사람', '최고', '작품', '웨스 앤더슨', '이야기']"
6,나이브스아웃,"['스토리', '반전', '재미', '연기', '시간', '배우들', '느낌', '추리소설', '최고', '연출', '추리물', '겨울왕국', '긴장감', '추천', '지루', '오랜만', '기대', '사람']"
7,도둑들,"['재미', '전지현', '배우들', '연기', '천만', '평점', '스토리', '캐릭터', '액션', '감독', '오락', '기대', '배우', '도둑', '캐스팅', '관객', '느낌']"
8,러브로지,"['사랑', '주인공', '스토리', '릴리', '막장', '콜린스', '사람', '여주', '재미', '로맨스', '로지', '여자', '음악', '달달', '인생', '타이밍', '친구', '공감']"
9,레디플레이어원,"['스티븐 스필버그', '게임', '재미', '스토리', '최고', '건담', '감독', '유치', '사람', '역시', '오락', '캐릭터', '느낌', '기대', '시간', '내용', '지루']"
10,미드소마,"['사람', '유전', '공포', '기분', '장면', '고어', '느낌', '재미', '시간', '정신', '연출', '스토리', '호불호', '처음', '사이비']"
11,박쥐,"['평점', '박찬욱', '김옥빈', '연기', '감독', '작품', '송강호', '최고', '연출', '다시', '아름답다', '뱀파이어', '박쥐', '욕망', '명작', '이해', '장면', '사랑', '인생']"
12,반창꼬,"['한효주', '고수', '사랑', '연기', '재미', '감동', '스토리', '사람', '평점', '마음', '캐릭터', '소방관', '다시', '가슴', '달달', '배우들', '매력']"
13,베를린,"['연기', '하정우', '평점', '스토리', '류승범', '전지현', '배우들', '재미', '시리즈', '북한', '기대', '감독', '한석규', '베를린', '최고', '이해', '류승완']"
14,부당거래,"['연기', '류승범', '현실', '최고', '황정민', '류승완', '감독', '배우들', '재미', '명작', '스토리', '대한민국', '마지막', '연기력', '한국영화', '경찰', '결말', '사회', '웰메이드', '배우']"
15,뷰티인사이드,"['한효주', '사람', '재미', '사랑', '지루', '외모', '평점', '아름답다', '배우', '내면', '소재', '뷰티', '연기', '인생', '스토리']"
16,성난변호사,"['이선균', '연기', '김고은', '재미', '스토리', '반전', '배우', '임원희', '검사', '역시', '변호사', '평점', '기대', '느낌', '혼자', '연출', '시나리오']"
17,숨바꼭질,"['스토리', '평점', '손현주', '재미', '짜증', '연기', '알바', '사람', '경찰', '문정희', '스릴러', '최악', '처음', '신고', '쓰레기', '후반', '개연성', '범인']"
18,신세계,"['황정민', '연기', '최고', '신세계', '이정재', '느와르', '무간도', '명작', '다시', '배우들', '조폭', '재미', '연기력', '한국영화', '인생', '스토리', '최민식']"
19,싸이보그지만괜찮아,"['박찬욱', '재미', '평점', '감독', '이해', '사람', '사랑', '독특', '임수정', '최고', '신선', '다른', '역시', '감동', '기대']"
20,악마를보았다,"['연기', '최민식', '이병헌', '최고', '평점', '악마', '잔인', '연기력', '복수', '배우', '소름', '다시', '스릴러', '마지막', '명작', '장면', '한국영화', '감독']"
21,양들의침묵,"['스릴러', '연기', '홉킨스', '최고', '포스터', '안소니', '명작', '조디', '렉터', '한니발', '긴장감', '지금', '소름', '작품', '연출', '연기력', '장면', '다시']"
22,올드보이,"['최고', '올드보이', '작품', '한국영화', '명작', '박찬욱', '다시', '연기', '감독', '충격', '지금', '완벽', '연출', '최민식', '스토리', '소름', '사람']"
23,왕의남자,"['최고', '다시', '연기', '이준기', '천만', '명작', '지금', '여운', '인생', '작품', '광대', '감동', '마지막', '장면', '공길', '배우들', '연산군']"
24,위플래쉬,"['최고', '마지막', '음악', '열정', '사람', '드럼', '몰입', '광기', '주인공', '평점', '교수', '다시', '전율', '장면', '소름', '연기']"
25,인랑,"['강동원', '재미', '한효주', '평점', '액션', '스토리', '감독', '알바', '최악', '정우성', '노잼', '시간', '멜로', '사람', '원작', '쓰레기']"
26,최종병기활,"['아포칼립토', '표절', '감독', '재미', '양심', '평점', '쓰레기', '스토리', '호랑이', '박해일', '연기', '긴장감', '멜깁슨', '한국영화']"
27,추격자,"['하정우', '연기', '김윤석', '스릴러', '최고', '경찰', '아줌마', '다시', '슈퍼', '긴장감', '추격자', '배우', '명작', '소름', '지금', '감독', '나홍진', '무능', '연기력']"
28,코코,"['감동', '눈물', '기억', '최고', '코코', '가족', '애니메이션', '노래', '픽사', '인생', '아이', '사람', '사랑', '디즈니', '죽음', '할머니', '스토리', '다시', '어른']"
29,킬빌,"['타란티노', '액션', '최고', '잔인', '우마 서먼', '음악', '감독', '재미', '쿠엔틴 타란티노', '복수', '스타일', '킬빌', '장면', '연출', '명작', '작품', '매력', '일본']"
